,company,position,url,location,headquaters,employees,founded,industry,Job Description
1, Visual BI Solutions Inc,Graduate Intern (Summer 2017) - SAP BI / Big Data / Analytics / Visualization,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=4120&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475538&jobListingId=2340897554," Plano, TX","Plano, TX",51 to 200 employees,2010,Information Technology," Location: Plano, TX or Oklahoma City, OK Duration: Internship During Summer 2017 Term Job Summary:  Visual BI Solutions Inc is seeking Graduate Interns with strong expertise/passion in BI or Big Data & Analytics Solutions (SAP BW or SAP HANA or Oracle / MS SQL EDW / PL/SQL / BODS / SAS / Big Data / Visualization Tools) to join our College Recruiting Hiring Program. In this role, you would be building best-in-class BI, Analytics & Big Data Solutions that would be consumed by leaders and executives of Fortune 500 organizations.  A strong sense of business analysis, ETL, Data Modeling, Data Warehousing, Visualization, Reporting, Advanced Analytics and data interpretation are some of the key attributes we look for. As a market leader in SAP BI & Analytics - Visual BI is very selective in student hiring and so candidates with portfolio of non-academic project work/technical blogs will be preferred over work experience or academic GPA Scores. You will be asked to hone your BI & Analytics expertise during your internship and you will be working with some of the best customers and BI talent in the world Requirements-2+ years of IT BI / EDW / ETL / Big Data development or Relevant Work BI/DataWarehousing experience is Preferred -Visual BI will consider your non-academic projects to showcase your experience in these areas -Experience with SAP HANA or SAP BW or SAP BODS or Big Data Frameworks (Hadoop/Spark, ..) a PLUS- Candidates with Reporting or Web Development Skills (CSS/JavaScript/UI5/Fiori) will also be considereBenefits Be on the forefront of learning and innovation! You'll have 24x7 access to Visual BI Labs, our learning environment that hosts all leading-edge innovations in BI with excellent training and development opportunities during Internship  10 - 12 weeks of Paid Internship  Opportunities to secure full-time roles in BI & Analytics with Visual BI  "
2, Jobvertise,Digital Marketing Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=129608&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475540&jobListingId=2398043328," Dallas, TX","Berlin, Germany",1 to 50 employees,2011,Unknown," The Digital Marketing Manager is the front line of patient, consumer and audience engagement for EyeCare Services Partners and its affiliates, leading and defining the digital marketing mix, with an emphasis on social media, web, email and content marketing. The Digital Marketing Manager will work closely with cross functional teams to plan and execute high impact marketing strategies designed to drive results.Essential Functions Own and execute digital brand presence through social media, web, and email strategies, implementing best practices and utilizing data and insights for continued evolution Understand digital platforms and upcoming trends with ability to foster into tangible action for brand Leverage brand and consumer/patient insight to engage and foster stronger consumer engagement across digital platforms Lead project based marketing initiatives such as influencer and engagement campaigns Manage day-to-day communications with internal teams, brands, partners, and patients/consumers Oversee practice website redesign Introduce Patient Communication Software (solution reach) Introduce and assist with internet and marketing packages (Glacial) Manage content for corporate web site Manage digital (organic and paid) channels, and track, and analyze all digital marketing efforts Create Marketing Collateral as needed for both corporate and practices (i.e. trade show banners, email blasts, flyers, posters, ads, concepts for radio, seasonal campaigns for specialty services, Lasik, cosmetic, PIOLS, Kamra, Cataracts, Flex Spending, and back to school exams and/or glasses)Requirements Bachelors Degree or 5+ years of related work experience in digital marketing, content marketing, social media, or copy writing is required This is a hands-on role that requires excellent collaborative, organizational, and creative skills and ability to build a strategy and execute across multiple digital disciplines Strong experience with digital content across platforms, and a clear understanding of how content is conceptualized, created, and promoted Experience working with digital media based data and analytics, and how to turn insights into actions A strong understanding of digital marketing across all disciplines including social, search, email and websites and content Experience managing and maintaining content driven websites, email and social media channels Strong writer capable of internalizing and articulating the brand voice, and to clearly present ideas and points of view to internal teams"
3, Santander Consumer USA,"Manager, Pricing Management Information Systems",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=199853&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475542&jobListingId=2013633573," Dallas, TX","Dallas, TX",5001 to 10000 employees,1995,Finance," Summary of Responsibilities:The Manager Pricing MIS will be responsible for assisting the Pricing & Strategy and Profitability Teams within Decision Sciences in the execution of information gathering and reporting. Manager Pricing MIS is responsible for managing development and production of pricing reporting and supervising analysts responsible for converting existing daily, weekly, monthly and ad-hoc reports to more efficient delivery tools which includes data visualization. Supervision of a portion of the Pricing MIS team will require leadership and direction for timely internal and regulatory, ongoing and ad-hoc reporting support to Pricing & Strategy and Profitability segments within Decision Sciences. Consistency and quality of information reports along with repository management will be critical.Essential Job Functions:Responsible for assisting the Decision Sciences team in the design, development, implementation and production of pricing reporting needs in ongoing and ad-hoc environmentAdditionally responsible for managing the automation implementation process for all new reports, as appropriate, and converting existing Business as usual reports to an automated delivery process.Responsible for working with Information Technology organization, assigned consultants and existing staff to develop a governance process for converting appropriate reports to an efficient Data Visualization mechanism.Drive, adopt and develop best practices in report templates and toolsEstablish and manage Pricing Governance team drive location, SharePoint sites and repository of documentsAssure clear, concise and objective reportingIdentify and escalate issues and observations as they ariseOther Functions:Maintain ongoing relationships with management throughout the organization and effectively manage and motivate the teamComplete reviews/projects and additional work within specified timescales and in line with departmental standardsResponsible for all aspects of the team members life cycle including, recruitment, performance management, development and coachingEnsure that all tasks are carried out with a high degree of professionalism.Daily support of junior analysts and interns relative to the production of reporting deliverables.Requirements:Bachelors degree in computer or MIS or a related field, or equivalent combination of education and experience, required.One (1) to three (3) years of previous management experience required or 3 years specific auto industry experience working in a reporting environment.Internal candidates who do not meet the stated requirements for management experience (but, are otherwise qualified) may be selected for this role contingent upon the completion of a prescribed training plan.3 -5 years of progressively responsible experience within financial services management or MIS within a financial services institution requiredExpertise with PC software applications such as SQL, SAS, Excel, Word, PowerPoint, Access and DashboardsExperience with Tableau or similar data visualization tools a plusDetailed knowledge of information reporting structures (Extraction, Transformation and Loading (ETLs), Data Management, Data Warehouse, data validation models etc.)Knowledge of financial statements, accounting principles, Credit Policy, applicable laws and industry data sources.Dedication to information integrity and accurate reportingExcellent analytical, technical and problem solving skills, with strong attention to detailAbility to effectively explain to others how to understand and approach complicated issuesExceptional verbal and written communication, collaboration, and time management skillsPossess strong leadership skills with focus on development and mentorshipAbility to adapt to various work environments and project schedulesAbility to work effectively in a team environment with all levels of personnelSelf-directed with ability to multitask and prioritizeAbility to maintain strict confidentialitySuperior leadership and organizational skillsStrategic and tactical thinkerWorking Conditions:Extended working hours may be required as dictated by management and business needs.Travel to multiple facilities may be required.May be required to lift, push, or pull materials weighing up to twenty (20) pounds.May be required to sit and review information on a computer screen for long periods of time.May require repetitive motions of the hands and wrist related to writing and typing at an electronic keyboard.Corporate / satellite office role.Employers Rights:This job description does not list all the duties of the job. You may be asked by your supervisors or managers to perform other duties. You will be evaluated in part based upon your performance of the tasks listed in this job description.The employer has the right to revise this job description at any time. This job description is not a contract for employment, and either you or the employer may terminate employment at any time, for any reason."
4, Federal Reserve Bank of Dallas,Treasury Services Analyst Internship,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=173866&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475544&jobListingId=2358506891," Dallas, TX","Dallas, TX",1001 to 5000 employees,1914,Finance," ORGANIZATIONAL SUMMARY:   As part of the nation’s central bank, the Federal Reserve Bank of Dallas is committed to strengthening the economy and our communities. At the Fed, you have the opportunity to become part of an important public service institution whose work touches lives across the globe. It’s a big job and that’s why we need talented, results-driven professionals who care about making a difference.   POSITION SUMMARY:    As a Treasury Services intern in the Federal Reserve Bank of Dallas Treasury Services Department, you will regularly apply analytical, problem solving, written and interpersonal skills. You will have the opportunity to expand your knowledge of project and operations management, process improvement, and learn the various areas in a team environment.   RESPONSIBILITIES:  Organize department training data into a usable outline for an electronic handbook Examine unstructured data to identify what should be deleted or retained Assist with physical inventory and organization of storage areas Analyze process for patching computers to maintain security controls Automate reporting of vendor scorecards Utilize creativity in designing marketing materials Work on ad hoc assignments, as requested Participate in meetings and trainings, as assigned   EDUCATION AND EXPERIENCE:   Strong writing skills, including the ability to write clearly, correctly, and concisely Ability to analyze problems and inquiries Ability to prioritize tasks and projects to meet business needs in a logical sequence Ability to maintain flexibility and adapt to changes in the business environment Ability to work under general guidance on broad assignments. Ability to take direction easily, interpret directives and execute in an efficient manner Highly organized and detail oriented Adheres to a high standard of core values and ethics that align with the organization. Maintains high integrity and trust Strong interpersonal and oral communication skills, including speaking clearly and confidently when communicating with all levels of stakeholders from support staff to senior level executives Proficient in the use of personal computers and various software packages, including MS SharePoint, Word, Excel and PowerPoint Currently enrolled in college and seeking a qualifying degree such as a Bachelor’s degree in Business Administration, or other related field Prior knowledge of principles and practices of business, operations management, and project management through coursework and/or practical experience   WORK HOURS AND CONDITIONS:   40 hours Monday – Friday (8:00-5:00 pm). Overtime may be required on an as needed basis    This is a security sensitive position. By federal law, this position requires that candidates be a U.S. citizen.        We are proud to be an equal opportunity employer ."
5, Aviall,"Intern, Sales Analyst",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=201793&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475546&jobListingId=2310045054," Dallas, TX","Dallas, TX",1001 to 5000 employees,Boeing,Subsidiary or Business Segment,"   Aviall is the world's largest provider of new aviation parts and related aftermarket services. Aviall markets and distributes products for more than 240 manufacturers and offers approximately 2,000,000 catalog items from 40 customer service centers located in North America, Europe, and Asia-Pacific. Aviall prides itself in having an open‚ performance–based culture throughout the organization. We offer an environment that is diverse, challenging and supportive, and provides hands-on experience and real-world responsibilities that serves as the springboard for a successful career. We are also very proud to consistently receive outstanding awards for our diversity and recruitment efforts including the “Top 100 Military-Friendly Employers.” Come join our talented world class team and thrive in a dynamic and supportive culture. POSITION SUMMARY: Aviall has an exciting position for a Sales Intern at our Corporate Headquarters located in Dallas,TX. The Sales Intern will assist the department in various information technology initiatives that may include but are not limited to: data analytics, logistics, pricing and reporting skillset to focus on efficiency and opportunity scenarios within the group. Additionally this internship provides the opportunity to build relationships and develop business acumen through networking with other Aviall interns across the enterprise and interaction with various Aviall leaders.  The expected starting date for this position is May 15, 2017.      Job Requirements   QUALIFICATIONS: Completed the first semester of Junior Year or first semester of Master’s program by May 15, 2017. Overall GPA of 3.0. Good presentation, speaking, organizational, and problem solving skills, thorough attention to detail, and the capability to meet deadlines. Ability to adapt to change and willingness to be flexible in a global team environment. Excellent written communication skills and ability to document technical information in an easy to understand and straightforward manner.  Aviall is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law.     Education   Some College Coursework Completed  "
6, Federal Reserve Bank of Dallas,Human Resources Analyst Internship,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=173863&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475548&jobListingId=2346199266," Dallas, TX","Dallas, TX",1001 to 5000 employees,1914,Finance," ORGANIZATIONAL SUMMARY:   As part of the nation’s central bank, the Federal Reserve Bank of Dallas is committed to strengthening the economy and our communities. At the Fed, you have the opportunity to become part of an important public service institution whose work touches lives across the globe. It’s a big job and that’s why we need talented, results-driven professionals who care about making a difference.   POSITION SUMMARY:    The Human Resources Analyst Intern will assist the HR Department in building human capital data analytics practices ensuring all aspects of Human Resources are represented. In this role, the intern will have an opportunity to partner with Compensation, Payroll, HRIS, and Recruiting and Onboarding to build and implement tools and processes to help the department successfully solve data-driven challenges.     RESPONSIBILITIES:  Conduct research on industry benchmark HR metrics Develop metrics on HR to include but not limited to: turnover, compensation, recruitment and diversity Work closely with key HR units and business areas to develop any additional reports as part of internal projects to include comprehensive analysis of trends, KPI metrics, predictive analytics and other    Partner with HRIS to research best delivery methods of reports, forms, documents, etc. and create samples for user approval  EDUCATION AND EXPERIENCE:    •1 years of experience in an analysis and/or reporting role •Working knowledge in MS Excel, including the ability to utilize the following functions: V-Lookup, H-Lookup, Concatenating formulas, Conditional formatting, and Pivot Tables  •Must be proactive and solutions oriented business professional with the ability to interface with all levels of management across business units and functions •Must have the ability to handle sensitive information with the highest degree of integrity and confidentiality     • Junior (or higher) pursuing a Degree in Human Resources, Business or related field  WORK HOURS AND CONDITIONS:   40 hours Monday – Friday (Business hours are 8am to 5pm)   We are proud to be an equal opportunity employer ."
7, Atos,Intern - Business Analytics,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=4120&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475549&jobListingId=2397749593," Dallas, TX","Bezons, France",10000+ employees,1997,Unknown,"  Atos is a leader in digital services with annual revenue of € 12 billion and 100,000 employees in 72 countries. Serving a global client base, Atos offers Consulting & Systems Integration, Managed Services & BPO, Cloud, Big Data & Cyber-security solutions. With deep technology expertise and industry knowledge, Atos works with clients across many business sectors: Defense, Financial Services, Health, Manufacturing, Media, Utilities, Public Sector, Retail, Telecommunications, and Transportation.Atos is focused on business technology that powers progress and helps organizations to create their firm of the future. In addition, Atos is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Bull, Canopy, Unify and Worldline. Atos offers a broad professional perspective and the opportunity to build a rewarding career across either the technical or business paths. With our worldwide presence and our broad range of professional services, Atos provides training programs across all our competencies and markets worldwide for employees in all stages of their career. In addition, we offer programs that are focused on engaging and developing people who are at the beginning of their career through internships and graduate opportunities.    For more information, please see the Atos corporate web site: www.atos.net.   Atos is an EEO employer, providing employment opportunity regardless of race, color, religion, sex, age, national origin veteran status, disability or other factors protected by law.  We have a summer intern position for a highly motivated and independent intern to join our outsourcing presales team. The intern will be responsible for designing and developing reports and interactive dashboards to be utilized by our organization. The successful candidate should have proven self-learning abilities, motivation, strong data analytics knowledge, exceptional problem solving skills and attention to detail.Responsibilities:- Work with cross-functional teams, to gather, analyze and document reporting requirements to meet business needs.- Translate business requirements into specifications that will be used to implement the required reports and interactive dashboards, created from potentially multiple data sources.- Design, develop, and deploy Tableau interactive dashboards.- Validation and testing of critical business reports.- Closely monitor and check the accuracy and completeness of data in Tableau. Perform optimization of Tableau reports. Minimum Qualifications: - Excellent communication skills, both written and oral - Comfortable with ambiguity, change, and working in an agile manner. - The ideal candidate must be a self-starter and detail-oriented professional who can work independently. - Must have outstanding organizational verbal and written skills - Proficiency in the Microsoft Office suite required including strong Excel skills  - Familiarity with Microsoft Access and SharePoint   Preferred Qualifications: - Hands-on SQL database experience. - Knowledge of business intelligence / analytics tools like Business Objects, Tableau or similar data mining service, with ability to write variables and understand scripts. - Data mining, statistics and analytical modeling.     - Must currently be enrolled in a College or Technical Institute OR will have just graduated within 6 months of internship- High degree of interest in IT- Internships are intended to be positions that are for limited duration, with a maximum duration ten months(1560 hours per year max). - Effective communication and interpersonal skills (both written and verbal) - Ability to work on a team - Background checks are required for interns"
8, Atos UK ,Intern - Business Analytics,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475551&jobListingId=2346793486," Dallas, TX","London, United Kingdom",10000+ employees,1997,Information Technology," Job Details Intern - Business Analytics US - TEXAS - DALLAS, US - TEXAS, USA  Apply for this job  Reference no. 231127 Country USA Region US - TEXAS City US - TEXAS - DALLAS Position Type Student Job Area Other Job Type Part Time > 50% Company Atos  Company Information  Atos is a leader in digital services with annual revenue of € 12 billion and 100,000 employees in 72 countries. Serving a global client base, Atos offers Consulting & Systems Integration, Managed Services & BPO, Cloud, Big Data & Cyber-security solutions. With deep technology expertise and industry knowledge, Atos works with clients across many business sectors: Defense, Financial Services, Health, Manufacturing, Media, Utilities, Public Sector, Retail, Telecommunications, and Transportation.Atos is focused on business technology that powers progress and helps organizations to create their firm of the future. In addition, Atos is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Bull, Canopy, Unify and Worldline. Atos offers a broad professional perspective and the opportunity to build a rewarding career across either the technical or business paths. With our worldwide presence and our broad range of professional services, Atos provides training programs across all our competencies and markets worldwide for employees in all stages of their career. In addition, we offer programs that are focused on engaging and developing people who are at the beginning of their career through internships and graduate opportunities.    For more information, please see the Atos corporate web site: www.atos.net.   Atos is an EEO employer, providing employment opportunity regardless of race, color, religion, sex, age, national origin veteran status, disability or other factors protected by law.  Job Description We have a summer intern position for a highly motivated and independent intern to join our outsourcing presales team. The intern will be responsible for designing and developing reports and interactive dashboards to be utilized by our organization. The successful candidate should have proven self-learning abilities, motivation, strong data analytics knowledge, exceptional problem solving skills and attention to detail.Responsibilities:- Work with cross-functional teams, to gather, analyze and document reporting requirements to meet business needs.- Translate business requirements into specifications that will be used to implement the required reports and interactive dashboards, created from potentially multiple data sources.- Design, develop, and deploy Tableau interactive dashboards.- Validation and testing of critical business reports.- Closely monitor and check the accuracy and completeness of data in Tableau. Perform optimization of Tableau reports. Job Requirements Minimum Qualifications: - Excellent communication skills, both written and oral - Comfortable with ambiguity, change, and working in an agile manner. - The ideal candidate must be a self-starter and detail-oriented professional who can work independently. - Must have outstanding organizational verbal and written skills - Proficiency in the Microsoft Office suite required including strong Excel skills  - Familiarity with Microsoft Access and SharePoint   Preferred Qualifications: - Hands-on SQL database experience. - Knowledge of business intelligence / analytics tools like Business Objects, Tableau or similar data mining service, with ability to write variables and understand scripts. - Data mining, statistics and analytical modeling.     Additional Information - Must currently be enrolled in a College or Technical Institute OR will have just graduated within 6 months of internship- High degree of interest in IT- Internships are intended to be positions that are for limited duration, with a maximum duration ten months(1560 hours per year max). - Effective communication and interpersonal skills (both written and verbal) - Ability to work on a team - Background checks are required for interns   Apply for this job Back to search results "
9, 70KFT,Digital Marketing Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4484&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475553&jobListingId=2356013567," Dallas, TX","Dallas, TX",1 to 50 employees,2003,Business Services," Job Descriptions:Downtown agency is looking for a rockstar Digital Marketing Intern. You will be working alongside a team that is second to none on the latest and greatest marketing trends from the digital world. You should be familiar with the industry paid, owned, and earned media concepts, have an understanding of what Digital Marketing is and how data is used to drive this channel. Being familiar with reporting and excel hacks would also be beneficial. If you were born with these superpowers, or you heard your professors or colleagues discussing this booming trend, we are looking for you to join us. What You Will Do:Work closely with the digital marketing team and coordinate with account managers, web developers, creative and strategy teams.Activities would include keyword research, content production and optimization, data analysis, quality assurance testing, opportunity identification, and troubleshooting technical issues.Manage and execute day-to-day tactical SEO & PPC strategies.Take part in client meetings discussing all facets of their Digital Marketing campaigns.Develop and present internal monthly reports to leverage data to demonstrate the impact of the company's digital marketing services over time.Invent, design, test, analyze, optimize, and scale ROI-positive SEO, PPC and content marketing initiatives.Work alongside the Social Media channels to work together with SEO.Required Experience:Knowledge of SEO (Search Engine Optimization)Knowledge of PPC (Pay-Per Click) management.Analytically inclined.Data oriented - excel wizard of sorts.Outstanding problem solving skills.Self-starter and the ability to work independently on a small team.Outstanding written and verbal communication skills.An understanding of HTML, CSS, Java Script, databases and general website architecture.Experienced with content strategy, creation and optimization.Email marketing, CMS and CRM experience is a great bonus.Keyword: Digital MarketingFrom: 70KFT"
10, Stearns Lending,Data Analyst - Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=161902&s=58&guid=0000015b9476f35987a265b0a3254103&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cb=1492844475556&jobListingId=2370449801," Lewisville, TX","Santa Ana, CA",1001 to 5000 employees,1989,Finance," JOB TITLE Data Analyst - Intern  JOB SUMMARY A Data Analyst will partner with the business to understand business needs and facilitate the flow of data from Stearns’ loan origination system into the business intelligence system. In addition, they will be responsible for maintaining the integrity of the data, as well as documenting the appropriate use of data across the corporation. The analyst will have primary responsibility for filing quarterly Mortgage Call compliance reports for multiple entities, using Cognos database. Work closely with management and end-users to evaluate business requirements to support delivery of effective business intelligence and reporting solutions. JOB FUNCTIONS Analyze transactional level data in Excel and/or Access to check for data gaps or issues. These could include, but are not limited to missing data, duplication data, incorrect or irrelevant data.Respond to business inquiries related to data entered into Loan Origination SystemAudit reports for accuracy, consistency and completeness. Interface with report users to ensure that reports meet business needs. Perform data quality management activities including data profiling, data validation, and assessing data relevancy to further improve information reliability.Gather and analyze relevant source data and work with appropriate personnel to address any unexpected results.Identify data content, anomalies, and support business requirements through thorough data analysis and profiling.Create and maintain documentation of processes, reports, applications, and proceduresServe as the group’s SME in all metadata, including definitions, business and data quality rules, sourcing and performance.Review business definitions documents, collect, and analyze information in preparation for setting up format to load into data warehouse.Audit and maintain reporting requirements quarterly filing for Mortgage Call Report and State regulatory exams.Maintain records of all data supplied to regulators / third-parties.  JOB REQUIREMENTS Proficiency in Excel and MS SQLBachelor’s Degree in Computer Science or related fieldStrong attention to detail; ability to manipulate large pools of data accuratelyExperience using IBM Cognos and Microsoft Access a plus   "
